Unnamed: 0,Unnamed: 1,Unnamed: 2,Run #1,Unnamed: 4,Unnamed: 5,Run #2,Unnamed: 7,Unnamed: 8,Run #3,Unnamed: 10,Unnamed: 11,Run #4,Unnamed: 13,Unnamed: 14,Final,Unnamed: 16,Unnamed: 17
Place,CarNum,Team,Time,Cones,AdjTime,Time,Cones,AdjTime,Time,Cones,AdjTime,Time,Cones,AdjTime,BestTime,Penalty,Score
59,15,Tennessee Tech Univ,5.275,,5.275,5.433,,5.433,5.145,,5.145,5.623,,5.623,5.145,,47.75
60,29,Univ of Texas - Austin,5.154,,5.154,,,DNF,,,DNA,,,DNA,5.154,,47.35
61,27,Carleton Univ,6.007,,6.007,6.010,,6.010,5.185,,5.185,5.159,,5.159,5.159,,47.12
62,77,Vanderbilt Univ,5.597,,5.597,30.321,,30.321,5.636,,5.636,5.272,,5.272,5.272,,42.11
63,24,Brown Univ,5.353,,5.353,5.803,,5.803,,,DNA,,,DNA,5.353,,38.62
64,95,Univ of Toledo,5.999,,5.999,5.359,,5.359,,,DNA,,,DNA,5.359,,38.4
65,114,Lehigh Univ,5.760,,5.760,5.367,,5.367,,,DNA,,,DNA,5.367,,38.07
66,66,Univ of Michigan - Dearborn,7.145,,7.145,5.369,,5.369,,,DNA,,,DNA,5.369,,37.98
67,93,South Dakota State Univ,5.445,,5.445,5.570,,5.570,13.398,,13.398,21.716,,21.716,5.445,,34.85
68,110,Michigan Tech Univ,5.834,,5.834,5.453,,5.453,,,DNA,,,DNA,5.453,,34.5
69 T,120,Oregon Inst of Tech,6.604,,6.604,6.795,,6.795,7.032,,7.032,6.742,,6.742,6.604,,4.5
69 T,32,Colorado School of Mines,6.718,,6.718,,,DNA,,,DNA,,,DNA,6.718,,4.5
69 T,113,US Air Force Academy,7.414,,7.414,6.808,,6.808,,,DNA,,,DNA,6.808,,4.5
,7,Georgia Institute of Technology,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,19,Purdue Univ - Northwest,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,31,Liberty Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,33,Rose Hulman Inst of Tech,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,34,Colorado Mesa University,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,36,Colorado State University,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,37,Univ of Arizona,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,41,Univ of Houston - Houston,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,43,Universidad Panamericana Sede Guadalajar,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,48,Univ of Central Florida,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,50,Missouri State University,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,51,ITESM - Campus Cuernavaca,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,52,California State Univ - Chico,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,53,Clemson Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,54,Instituto Tecnologico de Chihuahua,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,56,Iowa State Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
