,Place,CarNum,Team,ACdjous ts ted,Pric(3e0)Score,Cost(1 5 )A c curacy,DrEanwiginnges(e ri1n5)g,Sc o rS c ee( a4n ri0)o,Penalty,Score
1,105,72,Univ of Delaware,"$12,741",25.3,13,4,11.5,-50,3.8
2,121,88,UP Aguascalientes,"$15,219",21.9,,,5,-30,-3.09
3,,37,Univ of Arizona,,,,,,,
4,,41,Univ of Houston - Houston,,,,,,,
5,,50,Missouri State University,,,,,,,
6,,51,ITESM - Campus Cuernavaca,,,,,,,
7,,54,Instituto Tecnologico de Chihuahua,,,,,,,
8,,56,Iowa State Univ,,,,,,,
9,,59,Univ of Calif - Irvine,,,,,,,
10,,82,Western Michigan Univ,,,,,,,
11,,97,Univ of Massachusetts - Lowell,,,,,,,
12,,124,Alabama A & M Univ,,,,,,,
13,,130,Northern Illinois Univ,,,,,,,
14,,140,North Dakota State Univ,,,,,,,
15,,142,Lamar Univ,,,,,,,
