School,Car,1,2,3,4,5,6,7,8,9,10,11
ytisrevinU noskralC,29,600.681,,,,,,,,,,
South Dakota State Univ,93,195.335,195.345,168.693,182.172,193.672,,,,,,
Univ of Colorado - Boulder,94,181.672,179.294,196.358,166.636,175.473,,,,,,
Univ of Toledo,95,179.402,173.143,176.739,171.142,177.382,,165.621,171.816,170.658,166.119,170.315
Univ of Nebraska - Lincoln,98,159.601,157.177,157.877,164.27,164.18,,192.377,168.523,168.57,167.339,163.141
Univ of North Florida,99,162.501,153.914,152.564,172.317,155.668,,162.361,153.014,155.095,177.505,
Kettering Univ,100,164.275,175.67,,,,,,,,,
Minnesota State University - Mankato,101,164.545,158.913,159.604,156.292,166.549,,175.219,168.821,164.505,168.9,171.255
Missouri University of Science and Tech,102,159.562,152.937,173.059,,,,,,,,
Washington Univ - St Louis,104,177.862,172.445,179.322,186.569,187.612,,200.993,196.598,203.275,201.54,207.105
Univ of Southern California,105,350.299,161.933,160.031,153.842,148.325,,183.106,184.89,,,
Embry-Riddle Aero Univ - Daytona Beach,106,160.318,157.817,158.42,155.627,153.975,154.405,,168.113,190.538,170.561,171.361
Virginia Tech,107,231.532,178.981,166.801,168.122,164.93,,162.638,,,,
Lawrence Technological Univ,108,170.536,161.497,158.804,160.079,268.881,,168.821,161.636,159.817,156.343,204.43
Temple Univ,109,173.942,166.232,181.549,160.463,161.811,,153.66,150.842,151.825,152.917,148.491
US Air Force Academy,113,208.303,193.156,189.128,200.38,197.125,,196.1,171.658,164.64,168.2,162.26
Lehigh Univ,114,175.67,207.062,170.056,160.997,165.102,,228.697,209.069,199.395,196.173,190.195
Saginaw Valley State Univ,116,191.425,252.876,,,,,,,,,
California Baptist University,119,164.89,203.9,177.212,159.415,155.08,,165.371,176.86,176.249,183.73,179.282
Oregon Inst of Tech,120,270.977,279.538,322.832,,,,,,,,
Univ of Saskatchewan,121,175.608,170.012,167.899,164.375,,,,,,,
Northern Arizona Univ,125,246.233,224.668,225.462,212.304,217.597,,191.993,200.251,189.012,198.962,185.987
Arizona State Univ - Tempe,126,168.827,158.777,175.303,156.0,165.147,,179.183,165.85,167.762,167.931,171.974
Univ of Connecticut,127,143.121,135.85,137.804,137.854,137.746,,139.236,135.823,132.358,131.86,133.262
Univ of Ottawa,131,167.962,160.536,179.162,160.171,212.322,,181.137,162.996,159.776,159.231,183.994
Univ of Wisconsin - Madison,135,189.701,175.119,173.677,174.263,165.004,,148.946,149.837,,,
Instituto Maua de Tecnologia,145,166.718,153.638,153.306,152.957,159.768,,180.124,153.204,147.488,150.604,162.681
