Unnamed: 0,ecalP,muNraC,maeT,erocSwaR,ytlaneP,erocS
1,81 T,46,York College of Pennsylvania,32.5,,32.5
2,81 T,95,Univ of Toledo,32.5,,32.5
3,83,15,Tennessee Tech Univ,32.3,,32.3
4,84,90,Texas Tech Univ,31.5,,31.5
5,85,92,Clarkson University,31.4,,31.4
6,86,102,Missouri University of Science and Tech,30.7,,30.7
7,87,26,Univ of Wisconsin - Platteville,30.7,,30.7
8,88,74,Drexel Univ,29.9,,29.9
9,89,108,Lawrence Technological Univ,29.8,,29.8
10,90,133,Universidad Autonoma Estado Mexico,29.3,,29.3
11,91,22,Sacramento State Univ,29.3,,29.3
12,92,89,Southern Illinois Univ - Carbondale,28.9,,28.9
13,93,36,Colorado State University,28.7,,28.7
14,94 T,94,Univ of Colorado - Boulder,28.1,,28.1
15,94 T,100,Kettering Univ,28.1,,28.1
16,96,97,Univ of Massachusetts - Lowell,27.8,,27.8
17,97,126,Arizona State Univ - Tempe,27.6,,27.6
18,98,34,Colorado Mesa University,27.6,,27.6
19,99,80,California State Univ - Fullerton,27.5,,27.5
20,100,78,Univ of the Pacific,27.3,,27.3
21,101,86,Univ of Akron,27.0,,27.0
22,102,113,US Air Force Academy,26.9,,26.9
23,103,40,Universite de Sherbrooke,26.8,,26.8
24,104,61,Wayne State Univ,26.2,,26.2
25,105,116,Saginaw Valley State Univ,25.8,,25.8
26,106,51,ITESM - Campus Cuernavaca,23.5,,23.5
27,107,62,Washington State Univ,22.0,,22.0
28,108,73,Univ of Puerto Rico-Mayaquez,20.4,,20.4
29,109,93,South Dakota State Univ,20.0,,20.0
30,110,54,Instituto Tecnologico de Chihuahua,15.4,,15.4
31,111,128,St Cloud State Univ,10.0,,10.0
32,,37,Univ of Arizona,,,
33,,50,Missouri State University,,,
34,,59,Univ of Calif - Irvine,,,
35,,79,Univ of Texas - San Antonio,,,
36,,124,Alabama A & M Univ,,,
37,,138,Universidad Autonoma de Baja California,,,
38,,140,North Dakota State Univ,,,
39,,142,Lamar Univ,,,
