Unnamed: 0,ecalP,muNraC,maeT,det st suojdCA,erocS)0e3(cirP,ycaruc c A) 5 1(tsoC,g)5n1ir e(segnnigiwnaErD,o)0ir n4a (ee c Sr o cS,ytlaneP,erocS
1,105.0,72,Univ of Delaware,"$12,741",25.3,13.0,4.0,11.5,-50.0,3.8
2,121.0,88,UP Aguascalientes,"$15,219",21.9,,,5.0,-30.0,-3.09
3,,37,Univ of Arizona,,,,,,,
4,,41,Univ of Houston - Houston,,,,,,,
5,,50,Missouri State University,,,,,,,
6,,51,ITESM - Campus Cuernavaca,,,,,,,
7,,54,Instituto Tecnologico de Chihuahua,,,,,,,
8,,56,Iowa State Univ,,,,,,,
9,,59,Univ of Calif - Irvine,,,,,,,
10,,82,Western Michigan Univ,,,,,,,
11,,97,Univ of Massachusetts - Lowell,,,,,,,
12,,124,Alabama A & M Univ,,,,,,,
13,,130,Northern Illinois Univ,,,,,,,
14,,140,North Dakota State Univ,,,,,,,
15,,142,Lamar Univ,,,,,,,
