Unnamed: 0,Unnamed: 1,Unnamed: 2,Run #1,Unnamed: 4,Unnamed: 5,Run #2,Unnamed: 7,Unnamed: 8,Run #3,Unnamed: 10,Unnamed: 11,Run #4,Unnamed: 13,Unnamed: 14,Final,Unnamed: 16,Unnamed: 17
Place,CarNum,Team,Time,Cones,AdjTime,Time,Cones,AdjTime,Time,Cones,AdjTime,Time,Cones,AdjTime,BestTime,Penalty,Score
,58,Syracuse Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,59,Univ of Calif - Irvine,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,61,Wayne State Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,64,West Virginia Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,69,Bradley Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,71,Univ of Hartford,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,72,Univ of Delaware,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,74,Drexel Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,78,Univ of the Pacific,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,79,Univ of Texas - San Antonio,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,82,Western Michigan Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,84,Univ of British Columbia,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,88,UP Aguascalientes,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,90,Texas Tech Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,97,Univ of Massachusetts - Lowell,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,100,Kettering Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,103,Penn State Univ - Harrisburg,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,111,Florida International Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,116,Saginaw Valley State Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,117,Pellissippi State Community College,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,118,Univ of Manitoba,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,122,South Dakota School of Mines & Tech,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,124,Alabama A & M Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,125,Northern Arizona Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,128,St Cloud State Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,130,Northern Illinois Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,131,Univ of Ottawa,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,133,Universidad Autonoma Estado Mexico,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,136,Univ of Minnesota-Duluth,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
