,,,Driver 1 Run 1,,,,Driver 1 Run 2,,,,Driver 2 Run 1,,,,Driver 2 Run 2,,,,,,
"e
c
a
lP","m
u
N
r
a
C","m
a
e
T","R
e
m
iT","L
e
m
iT","s
e
n
o
C","e
m
iT
jd
A","R
e
m
iT","L
e
m
iT","s
e
n
o
C","e
m
iT
jd
A","R
e
m
iT","L
e
m
iT","s
e
n
o
C","e
m
iT
jd
A","R
e
m
iT","L
e
m
iT","s
e
n
o
C","e
m
iT
jd
A","e
m
iT
t
s
e
B","y
t
la
n
e
P","e
r
o
c
S"
38,107,Virginia Tech,5.736,5.637,,5.686,5.646,5.557,,5.601,5.943,5.774,,5.858,5.740,5.653,,5.696,5.601,,46.27
39,27,Carleton Univ,5.890,5.580,,5.735,5.830,5.383,,5.606,5.846,5.777,1,5.936,5.810,5.384,1,5.722,5.606,,45.96
40 T,63,Duke Univ,6.103,5.830,,5.966,6.037,5.633,,5.835,5.346,5.880,,5.613,,,,DNA,5.613,,45.54
40 T,95,Univ of Toledo,6.127,5.677,,5.902,5.770,5.457,,5.613,6.024,5.863,,5.943,6.014,5.587,1,5.925,5.613,,45.54
40 T,106,Embry-Riddle Aero Univ - Daytona Beach,5.644,5.433,2,5.788,5.820,5.407,,5.613,,,,DNA,,,,DNA,5.613,,45.54
43,121,Univ of Saskatchewan,5.917,5.800,,5.858,5.640,5.610,,5.625,,,,DNF,5.967,5.937,,5.952,5.625,,44.82
44,126,Arizona State Univ - Tempe,6.917,6.180,,6.548,6.096,5.193,,5.644,6.680,5.730,,6.205,6.140,5.680,1,6.035,5.644,,43.69
45 T,22,Sacramento State Univ,6.903,,,DNF,6.523,6.194,1,6.483,6.417,5.703,,6.060,5.786,5.504,,5.645,5.645,,43.63
45 T,65,Hope College,5.794,5.687,,5.740,5.607,5.683,,5.645,5.906,5.753,,5.829,5.696,5.783,,5.739,5.645,,43.63
47,116,Saginaw Valley State Univ,5.980,5.827,,5.903,5.653,5.663,,5.658,,,,DNA,,,,DNA,5.658,,42.86
48,20,Univ of Victoria,5.853,,,DNF,6.220,5.677,,5.948,5.776,5.573,,5.674,5.697,5.694,,5.695,5.674,,41.92
49,73,Univ of Puerto Rico-Mayaquez,5.797,5.620,,5.708,5.740,6.207,,5.973,5.920,,,DNF,5.834,5.520,,5.677,5.677,,41.75
50,66,Univ of Michigan - Dearborn,6.750,5.680,,6.215,5.907,5.467,,5.687,,,,DNA,,,,DNA,5.687,,41.17
