Unnamed: 0,Unnamed: 1,Unnamed: 2,Run #1,Unnamed: 4,Unnamed: 5,Unnamed: 6,Run #2,Unnamed: 8,Unnamed: 9,Unnamed: 10,Run #3,Unnamed: 12,Unnamed: 13,Unnamed: 14,Run #4,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Place,CarNum,Team,Time,Cones,OffCourse,AdjTime,Time,Cones,OffCourse,AdjTime,Time,Cones,OffCourse,AdjTime,Time,Cones,OffCourse,AdjTime,BestTime,Penalty,Score
,100,Kettering Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,103,Penn State Univ - Harrisburg,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,111,Florida International Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,117,Pellissippi State Community College,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,118,Univ of Manitoba,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,124,Alabama A & M Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,125,Northern Arizona Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,128,St Cloud State Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,130,Northern Illinois Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,133,Universidad Autonoma Estado Mexico,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,136,Univ of Minnesota-Duluth,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,138,Universidad Autonoma de Baja California,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,140,North Dakota State Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,142,Lamar Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
