Unnamed: 0,ecalP,muNraC,maeT,e degema r et s uitpvjdaAAL,destep alpLmoC,desU)rletl(uF,d)egtks(u 2jdOAC,pe g d e ua La r t s r ee pvjd2AAOC,epyTleuF,ylec n er otu FiccaifFfE,ycle u Fn e ice r ocifSfE
1,1,91,Mississippi State Univ,170.894,10,2.361,5.453,0.5453,100,0.784,100.0
2,2,30,Univ of Calif - Berkeley,141.824,10,4.085,6.74,0.674,E85,0.764,96.1
3,3,77,Vanderbilt Univ,170.877,10,2.451,5.661,0.5661,93,0.755,94.4
4,4,95,Univ of Toledo,175.434,10,2.479,5.726,0.5726,93,0.727,88.9
5,5,113,US Air Force Academy,198.295,10,2.265,5.232,0.5232,93,0.704,84.4
6,6,9,Univ of North Carolina - Charlotte,142.896,10,3.203,7.398,0.7398,100,0.691,81.8
7,7,135,Univ of Wisconsin - Madison,198.65,7,2.413,3.981,0.5687,E85,0.646,73.1
8,8,6,California Polytechnic State Univ-SLO,151.098,10,3.245,7.495,0.7495,93,0.645,72.8
9,9,34,Colorado Mesa University,168.123,10,3.081,7.117,0.7117,93,0.61,66.1
10,10,119,California Baptist University,176.199,10,2.961,6.839,0.6839,100,0.606,65.2
11,11,107,Virginia Tech,199.501,6,1.62,3.742,0.6237,100,0.587,61.5
12,12,29,Univ of Texas - Austin,175.147,5,1.551,3.582,0.7164,93,0.582,60.5
13,13,45,California State Univ - Northridge,162.482,10,3.404,7.863,0.7863,100,0.572,58.5
14,14,145,Instituto Maua de Tecnologia,160.049,10,4.94,8.151,0.8151,E85,0.56,56.2
15,15,65,Hope College,147.881,10,3.931,9.08,0.908,93,0.544,53.0
16,16,26,Univ of Wisconsin - Platteville,168.472,10,3.478,8.034,0.8034,100,0.54,52.2
17,17,109,Temple Univ,161.573,10,3.634,8.394,0.8394,93,0.538,52.0
18,18,3,The Ohio State University,139.589,10,5.927,9.779,0.9779,E85,0.535,51.3
19,19,57,Oakland University,159.051,10,3.864,8.925,0.8925,93,0.514,47.3
20,20,32,Colorado School of Mines,189.057,10,3.323,7.676,0.7676,93,0.503,45.1
