,CarNum,Team,Country,CyliE nndgienres,Dis( c a ncpl cE gi)enmeent,Weight(kg),Weight(lbs)
1,56,Iowa State Univ,US,4,600,,
2,57,Oakland University,US,4,600,231.3,510
3,58,Syracuse Univ,US,4,600,270.3,596
4,59,Univ of Calif - Irvine,US,4,600,,
5,60,Univ of Illinois - Chicago,US,4,600,215.5,475
6,61,Wayne State Univ,US,4,600,209.6,462
7,62,Washington State Univ,US,4,650,258.1,569
8,63,Duke Univ,US,2,690,215,474
9,64,West Virginia Univ,US,1,450,198.2,437
10,65,Hope College,US,4,600,221.4,488
11,66,Univ of Michigan - Dearborn,US,1,450,192.8,425
12,67,Univ of Minnesota - Twin Cities,US,4,600,214.5,473
13,68,AGH Univ of Science and Technology,PL,4,600,215.9,476
14,69,Bradley Univ,US,2,670,237.7,524
15,71,Univ of Hartford,US,1,450,188.2,415
16,72,Univ of Delaware,US,4,635,233.1,514
17,73,Univ of Puerto Rico-Mayaquez,US,4,600,199.6,440
18,74,Drexel Univ,US,1,450,170.6,376
19,76,Univ of Alabama - Tuscaloosa,US,4,600,219.5,484
20,77,Vanderbilt Univ,US,1,500,162.8,359
21,78,Univ of the Pacific,US,4,560,,
22,79,Univ of Texas - San Antonio,US,4,600,233.6,515
23,80,California State Univ - Fullerton,US,2,690,220.9,487
24,82,Western Michigan Univ,US,4,600,,
25,83,Univ of South Florida,US,4,600,219.5,484
26,84,Univ of British Columbia,US,4,600,202.8,447
27,86,Univ of Akron,US,1,450,181.4,400
28,87,Univ of Georgia,US,4,600,230.9,509
29,88,UP Aguascalientes,MX,4,600,,
30,89,Southern Illinois Univ - Carbondale,US,4,600,235,518
31,90,Texas Tech Univ,US,1,450,187.8,414
32,91,Mississippi State Univ,US,1,450,189.6,418
33,92,Clarkson University,US,4,600,214.1,472
34,93,South Dakota State Univ,US,4,600,201.8,445
35,94,Univ of Colorado - Boulder,US,2,690,213.6,471
36,95,Univ of Toledo,US,2,470,232.2,512
37,97,Univ of Massachusetts - Lowell,US,4,600,,
38,98,Univ of Nebraska - Lincoln,US,4,635,208.7,460
39,99,Univ of North Florida,US,4,600,228.6,504
40,100,Kettering Univ,US,1,450,177.8,392
41,101,Minnesota State University - Mankato,US,4,600,210,463
42,102,Missouri University of Science and Tech,US,4,635,216.8,478
43,103,Penn State Univ - Harrisburg,US,4,600,230.4,508
44,104,Washington Univ - St Louis,US,4,600,213.2,470
45,105,Univ of Southern California,US,4,600,220.4,486
